protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,relearn_trials,relearn_measured,relearn_score,relearn_reached_criterion,relearn_savings,relearn_elapsed_s,replicates,task_output_dir
b0_static_correlated_3s_50uA,conditioned_electrode_association,0.0,static,correlated,3.0,50.0,160,610.64,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.995,1.0,-0.005,0.005,0.4,0.04,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,33.75040408058149,0.0,33.75040408058149,-0.2183129630386484,1.8572408055916867e-11,0.8579957013605727,1.0,-0.0445699382785634,152755.36,0.0,0.0,1.0,0.995,1.0,1.0,0.2057223033203627,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b0_epoch_pause_correlated_3s_50uA,conditioned_electrode_association,0.0,epoch_pause,correlated,3.0,50.0,160,437.86,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.995,1.0,-0.005,0.005,0.4,0.04,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,25.752784658175074,0.0,25.752784658175074,-0.136807968239541,1.8572408055916867e-11,0.9073016534620046,1.0,-0.0311744535659127,106193.54,0.0,0.0,1.0,0.995,1.0,1.0,0.2051048059001914,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b2_epoch_pause_correlated_3s_50uA,conditioned_electrode_association,2.0,epoch_pause,correlated,3.0,50.0,160,285.9,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.995,1.0,-0.005,0.005,0.4,0.04,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,18.350352664215087,0.0,18.350352664215087,-0.0784303084575545,1.8572408055916867e-11,0.9484417007817728,1.0,-0.0227360512129004,66971.84,0.0,0.0,1.0,0.995,1.0,1.0,0.2047039458405924,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b2_chirp_shared_3s_10uA,conditioned_electrode_association,2.0,chirp,shared,3.0,10.0,160,1744.34,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.995,1.0,-0.005,0.005,0.4,0.04,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,6.76111948671201,0.0,6.76111948671201,-0.0114533989889832,1.8572408055916867e-11,0.991174325342334,1.0,-0.0024625841928435,13291.1,0.0,0.0,1.0,0.995,1.0,1.0,0.2039824408994172,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b-2_chirp_correlated_3s_10uA,conditioned_electrode_association,-2.0,chirp,correlated,3.0,10.0,160,2185.1,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.995,1.0,-0.005,0.005,0.4,0.04,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,2.9946757561909965,0.0,2.9946757561909965,-0.0032554192481883,1.8572408055916867e-11,0.9983409581726538,1.0,-0.0015969553893792,3548.9,0.0,0.0,1.0,0.995,1.0,1.0,0.2058464283807552,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b-2_chirp_shared_3s_10uA,conditioned_electrode_association,-2.0,chirp,shared,3.0,10.0,160,3742.38,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.9975,1.0,-0.0025,0.0025,0.4,0.02,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,15.37063273992134,0.0,15.37063273992134,-0.050695200009127,1.8572408055916867e-11,0.9613403440313678,1.0,-0.0095176741814009,48421.42,0.0,0.0,1.0,0.9975,1.0,1.0,0.2060997182798746,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b0_chirp_shared_3s_10uA,conditioned_electrode_association,0.0,chirp,shared,3.0,10.0,160,2596.9,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.9975,1.0,-0.0025,0.0025,0.4,0.02,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,4.3782012130225345,0.0,4.3782012130225345,-0.0058824204270045,1.8572408055916867e-11,0.996099768186291,1.0,-0.0019586682381554,6935.86,0.0,0.0,1.0,0.9975,1.0,1.0,0.2057119416397472,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b0_gated_burst_shared_3s_50uA,conditioned_electrode_association,0.0,gated_burst,shared,3.0,50.0,160,1062.96,0.0,1.0,1.0,60.0,20.4,20.4,1.0,1.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,143.0112405755953,0.0,143.0112405755953,-1.8765777136737407,1.8572408055916867e-11,0.3821794827527333,1.0,-0.1016757778148249,647246.74,0.0,0.0,1.0,1.0,1.0,1.0,0.2062924341004691,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b-2_gated_burst_shared_3s_50uA,conditioned_electrode_association,-2.0,gated_burst,shared,3.0,50.0,160,1061.26,0.0,1.0,1.0,60.0,20.4,20.4,1.0,1.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,142.81536159258735,0.0,142.81536159258735,-1.873632059523327,1.8572408055916867e-11,0.3822608400424934,1.0,-0.1015233531812502,646647.88,0.0,0.0,1.0,1.0,1.0,1.0,0.2072404799805372,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b2_gated_burst_shared_3s_50uA,conditioned_electrode_association,2.0,gated_burst,shared,3.0,50.0,160,1088.92,0.0,1.0,1.0,60.0,20.4,20.4,1.0,1.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,125.8970596095345,0.0,125.8970596095345,-1.5869335413759311,1.8572408055916867e-11,0.4288612179320622,1.0,-0.103494379905782,620088.42,0.0,0.0,1.0,1.0,1.0,1.0,0.205627867480216,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
