protocol_id,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,weight_erasure,residual_performance,savings,trace_auc_proxy,criticality_distance,health,energy_cost,path_erasure,replicates
b1_static_independent_1.5s_0.8uA,1.0,static,independent,1.5,0.8,160,62,-0.8536604004670475,0.6666666666666666,-0.611111111056713,0.5341831381030694,0.04655482567313318,0.10026749873286413,0.016298666666666666,-0.8536857085272352,3
b1_static_independent_1.5s_1.6uA,1.0,static,independent,1.5,1.6,160,62,-0.8536604004670475,0.6666666666666666,-0.611111111056713,0.5341831381030694,0.04655482567313318,0.10026749873286413,0.03259733333333333,-0.8536857085272352,3
b1_static_independent_1.5s_2.6uA,1.0,static,independent,1.5,2.6,160,62,-0.8536604004670475,0.6666666666666666,-0.611111111056713,0.5341831381030694,0.04655482567313318,0.10026749873286413,0.052970666666666666,-0.8536857085272352,3
b1_static_independent_3s_0.8uA,1.0,static,independent,3.0,0.8,160,139,-1.8657996293277421,0.4583333333333333,-0.4444444444004631,0.5325066827554111,0.04442465096910333,0.09959368652975532,0.035498666666666664,-1.8657062864891356,3
b1_static_independent_3s_1.6uA,1.0,static,independent,3.0,1.6,160,139,-1.8657996293277421,0.4583333333333333,-0.4444444444004631,0.5325066827554111,0.04442465096910333,0.09959368652975532,0.07099733333333333,-1.8657062864891356,3
b1_static_independent_3s_2.6uA,1.0,static,independent,3.0,2.6,160,139,-1.8657996293277421,0.4583333333333333,-0.4444444444004631,0.5325066827554111,0.04442465096910333,0.09959368652975532,0.11537066666666666,-1.8657062864891356,3
b1_static_phase_shifted_0.75s_0.8uA,1.0,static,phase_shifted,0.75,0.8,160,176,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.03822933333333333,-0.4372483638233799,3
b1_static_phase_shifted_0.75s_1.6uA,1.0,static,phase_shifted,0.75,1.6,160,176,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.07645866666666666,-0.4372483638233799,3
b1_static_phase_shifted_0.75s_2.6uA,1.0,static,phase_shifted,0.75,2.6,160,176,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.12424533333333332,-0.4372483638233799,3
b1_static_phase_shifted_1.5s_0.8uA,1.0,static,phase_shifted,1.5,0.8,160,248,-0.8536604004670475,0.6666666666666666,-0.611111111056713,0.5341831381030694,0.04655482567313318,0.10026749873286413,0.06519466666666666,-0.8536857085272352,3
b1_static_phase_shifted_1.5s_1.6uA,1.0,static,phase_shifted,1.5,1.6,160,248,-0.8536604004670475,0.6666666666666666,-0.611111111056713,0.5341831381030694,0.04655482567313318,0.10026749873286413,0.13038933333333333,-0.8536857085272352,3
b1_static_phase_shifted_1.5s_2.6uA,1.0,static,phase_shifted,1.5,2.6,160,248,-0.8536604004670475,0.6666666666666666,-0.611111111056713,0.5341831381030694,0.04655482567313318,0.10026749873286413,0.21188266666666666,-0.8536857085272352,3
b1_static_phase_shifted_3s_0.8uA,1.0,static,phase_shifted,3.0,0.8,160,556,-1.8657996293277421,0.4583333333333333,-0.4444444444004631,0.5325066827554111,0.04442465096910333,0.09959368652975532,0.14199466666666666,-1.8657062864891356,3
b1_static_phase_shifted_3s_1.6uA,1.0,static,phase_shifted,3.0,1.6,160,556,-1.8657996293277421,0.4583333333333333,-0.4444444444004631,0.5325066827554111,0.04442465096910333,0.09959368652975532,0.2839893333333333,-1.8657062864891356,3
b1_static_phase_shifted_3s_2.6uA,1.0,static,phase_shifted,3.0,2.6,160,556,-1.8657996293277421,0.4583333333333333,-0.4444444444004631,0.5325066827554111,0.04442465096910333,0.09959368652975532,0.46148266666666665,-1.8657062864891356,3
b1_static_shared_0.75s_0.8uA,1.0,static,shared,0.75,0.8,160,278,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.05930666666666667,-0.4372483638233799,3
b1_static_shared_0.75s_1.6uA,1.0,static,shared,0.75,1.6,160,278,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.11861333333333333,-0.4372483638233799,3
b1_static_shared_0.75s_2.6uA,1.0,static,shared,0.75,2.6,160,278,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.19274666666666665,-0.4372483638233799,3
b1_static_shared_1.5s_0.8uA,1.0,static,shared,1.5,0.8,160,349,-0.8536604004670475,0.6666666666666666,-0.611111111056713,0.5341831381030694,0.04655482567313318,0.10026749873286413,0.09617066666666667,-0.8536857085272352,3
b1_static_shared_1.5s_1.6uA,1.0,static,shared,1.5,1.6,160,349,-0.8536604004670475,0.6666666666666666,-0.611111111056713,0.5341831381030694,0.04655482567313318,0.10026749873286413,0.19234133333333334,-0.8536857085272352,3
b1_static_shared_1.5s_2.6uA,1.0,static,shared,1.5,2.6,160,349,-0.8536604004670475,0.6666666666666666,-0.611111111056713,0.5341831381030694,0.04655482567313318,0.10026749873286413,0.3125546666666666,-0.8536857085272352,3
b1_static_shared_3s_0.8uA,1.0,static,shared,3.0,0.8,160,832,-1.8657996293277421,0.4583333333333333,-0.4444444444004631,0.5325066827554111,0.04442465096910333,0.09959368652975532,0.21418666666666666,-1.8657062864891356,3
b1_static_shared_3s_1.6uA,1.0,static,shared,3.0,1.6,160,832,-1.8657996293277421,0.4583333333333333,-0.4444444444004631,0.5325066827554111,0.04442465096910333,0.09959368652975532,0.42837333333333333,-1.8657062864891356,3
b1_static_shared_3s_2.6uA,1.0,static,shared,3.0,2.6,160,832,-1.8657996293277421,0.4583333333333333,-0.4444444444004631,0.5325066827554111,0.04442465096910333,0.09959368652975532,0.6961066666666667,-1.8657062864891356,3
b2_alternating_blue_red_correlated_0.75s_0.8uA,2.0,alternating_blue_red,correlated,0.75,0.8,160,151,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.035584,-0.4372483638233799,3
b2_alternating_blue_red_correlated_0.75s_1.6uA,2.0,alternating_blue_red,correlated,0.75,1.6,160,151,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.071168,-0.4372483638233799,3
b2_alternating_blue_red_correlated_0.75s_2.6uA,2.0,alternating_blue_red,correlated,0.75,2.6,160,151,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.11564799999999999,-0.4372483638233799,3
b2_alternating_blue_red_correlated_1.5s_0.8uA,2.0,alternating_blue_red,correlated,1.5,0.8,160,279,-0.8536604004670475,0.6666666666666666,-0.611111111056713,0.5341831381030694,0.04655482567313318,0.10026749873286413,0.071168,-0.8536857085272352,3
b2_alternating_blue_red_correlated_1.5s_1.6uA,2.0,alternating_blue_red,correlated,1.5,1.6,160,279,-0.8536604004670475,0.6666666666666666,-0.611111111056713,0.5341831381030694,0.04655482567313318,0.10026749873286413,0.142336,-0.8536857085272352,3
b2_alternating_blue_red_correlated_1.5s_2.6uA,2.0,alternating_blue_red,correlated,1.5,2.6,160,279,-0.8536604004670475,0.6666666666666666,-0.611111111056713,0.5341831381030694,0.04655482567313318,0.10026749873286413,0.23129599999999997,-0.8536857085272352,3
