protocol_id,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,weight_erasure,residual_performance,savings,trace_auc_proxy,criticality_distance,health,energy_cost,path_erasure,replicates,reset_score
b-2_epoch_pause_independent_0.75s_0.8uA,-2.0,epoch_pause,independent,0.75,0.8,160,57,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.011776,-0.4372483638233799,3,-0.4651495061871601
b0_static_independent_0.75s_0.8uA,0.0,static,independent,0.75,0.8,160,52,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.012032,-0.4372483638233799,3,-0.4651623061871601
b1_epoch_pause_independent_0.75s_1.6uA,1.0,epoch_pause,independent,0.75,1.6,160,33,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.013482666666666665,-0.4372483638233799,3,-0.46523483952049344
b2_static_independent_0.75s_1.6uA,2.0,static,independent,0.75,1.6,160,33,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.013994666666666664,-0.4372483638233799,3,-0.46526043952049345
b-1_static_independent_0.75s_0.8uA,-1.0,static,independent,0.75,0.8,160,60,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.014250666666666667,-0.4372483638233799,3,-0.46527323952049343
b2_epoch_pause_independent_0.75s_2.6uA,2.0,epoch_pause,independent,0.75,2.6,160,23,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.015530666666666665,-0.4372483638233799,3,-0.46533723952049344
b0_epoch_pause_independent_0.75s_1.6uA,0.0,epoch_pause,independent,0.75,1.6,160,38,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.016042666666666667,-0.4372483638233799,3,-0.46536283952049345
b-2_static_independent_0.75s_0.8uA,-2.0,static,independent,0.75,0.8,160,67,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.016810666666666665,-0.4372483638233799,3,-0.46540123952049345
b2_epoch_pause_correlated_0.75s_0.8uA,2.0,epoch_pause,correlated,0.75,0.8,160,95,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.018773333333333333,-0.4372483638233799,3,-0.46549937285382675
b1_static_independent_0.75s_1.6uA,1.0,static,independent,0.75,1.6,160,44,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.019114666666666665,-0.4372483638233799,3,-0.46551643952049343
b2_epoch_pause_phase_shifted_0.75s_0.8uA,2.0,epoch_pause,phase_shifted,0.75,0.8,160,92,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.019456,-0.4372483638233799,3,-0.4655335061871601
b-1_epoch_pause_independent_0.75s_1.6uA,-1.0,epoch_pause,independent,0.75,1.6,160,47,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.020309333333333332,-0.4372483638233799,3,-0.4655761728538268
b0_alternating_blue_red_independent_0.75s_1.6uA,0.0,alternating_blue_red,independent,0.75,1.6,160,49,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.021162666666666663,-0.4372483638233799,3,-0.46561883952049343
b-2_alternating_blue_red_independent_0.75s_1.6uA,-2.0,alternating_blue_red,independent,0.75,1.6,160,49,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.021162666666666663,-0.4372483638233799,3,-0.46561883952049343
b1_alternating_blue_red_independent_0.75s_1.6uA,1.0,alternating_blue_red,independent,0.75,1.6,160,49,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.021162666666666663,-0.4372483638233799,3,-0.46561883952049343
b2_alternating_blue_red_independent_0.75s_1.6uA,2.0,alternating_blue_red,independent,0.75,1.6,160,49,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.021162666666666663,-0.4372483638233799,3,-0.46561883952049343
b-1_alternating_blue_red_independent_0.75s_1.6uA,-1.0,alternating_blue_red,independent,0.75,1.6,160,49,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.021162666666666663,-0.4372483638233799,3,-0.46561883952049343
b1_epoch_pause_independent_0.75s_2.6uA,1.0,epoch_pause,independent,0.75,2.6,160,33,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.021909333333333333,-0.4372483638233799,3,-0.46565617285382677
b2_static_independent_0.75s_2.6uA,2.0,static,independent,0.75,2.6,160,33,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.022741333333333332,-0.4372483638233799,3,-0.4656977728538268
b-2_epoch_pause_independent_0.75s_1.6uA,-2.0,epoch_pause,independent,0.75,1.6,160,57,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.023552,-0.4372483638233799,3,-0.4657383061871601
b2_static_correlated_0.75s_0.8uA,2.0,static,correlated,0.75,0.8,160,112,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.023637333333333333,-0.4372483638233799,3,-0.46574257285382675
b0_static_independent_0.75s_1.6uA,0.0,static,independent,0.75,1.6,160,52,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.024064,-0.4372483638233799,3,-0.4657639061871601
b1_epoch_pause_correlated_0.75s_0.8uA,1.0,epoch_pause,correlated,0.75,0.8,160,121,-0.4372666695223905,0.5,-1.3888888887905093,0.5306542012629282,0.041814938183157825,0.09957778303429528,0.025258666666666665,-0.4372483638233799,3,-0.46582363952049344
