protocol_id,seed,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,initial_trials,relearn_trials,weight_erasure,residual_performance,savings,criticality_distance,trace_auc_proxy,health,energy_cost,firing_rate_hz,active_channel_fraction,branching_ratio,path_erasure,residual_trace_correlation,job_elapsed_s
b2_alternating_blue_red_shared_1.5s_1.6uA,3,2.0,alternating_blue_red,shared,1.5,1.6,160,521,48,40,-0.5531200357587513,0.625,0.16666666668402774,0.030065715141140665,0.5220899928942935,0.10011129396431978,0.266752,18.708333333333332,1.0,1.092609711000635,-0.5530099585186998,0.9999893473370773,16.11657824998838
b2_alternating_blue_red_shared_1.5s_1.6uA,4,2.0,alternating_blue_red,shared,1.5,1.6,160,488,48,120,-0.5538771967752436,0.625,-1.4999999999479168,0.0710853717455038,0.5520881353270893,0.10118748584043451,0.249856,18.3125,1.0,1.0997112756847416,-0.5540067895027045,0.9999891227107404,25.585920541983796
b2_alternating_blue_red_shared_1.5s_2.6uA,1,2.0,alternating_blue_red,shared,1.5,2.6,160,486,16,24,-1.4539839688671474,0.75,-0.4999999999062501,0.03851339013275506,0.5283712860878252,0.09950371639383812,0.404352,18.9375,1.0,1.1196747865403196,-1.4540403775603012,0.9999196922190545,10.320272750017466
b2_alternating_blue_red_shared_1.5s_2.6uA,3,2.0,alternating_blue_red,shared,1.5,2.6,160,521,48,40,-0.5531200357587513,0.625,0.16666666668402774,0.030065715141140665,0.5220899928942935,0.10011129396431978,0.43347199999999997,18.708333333333332,1.0,1.092609711000635,-0.5530099585186998,0.9999893473370773,15.659231208002893
b2_alternating_blue_red_shared_1.5s_2.6uA,4,2.0,alternating_blue_red,shared,1.5,2.6,160,488,48,120,-0.5538771967752436,0.625,-1.4999999999479168,0.0710853717455038,0.5520881353270893,0.10118748584043451,0.406016,18.3125,1.0,1.0997112756847416,-0.5540067895027045,0.9999891227107404,25.224930875003338
b2_alternating_blue_red_shared_3s_0.8uA,1,2.0,alternating_blue_red,shared,3.0,0.8,160,924,16,16,-3.1772387082042206,0.25,6.250000517127319e-11,0.05425183531361418,0.5399018331295011,0.10058848492177272,0.23654399999999998,18.53125,1.0,1.0900890449246883,-3.1770903763161655,0.9999012892645086,11.213371333025862
b2_alternating_blue_red_shared_3s_0.8uA,3,2.0,alternating_blue_red,shared,3.0,0.8,160,939,48,96,-1.2101533788339753,0.75,-0.9999999999583336,0.039521741816360124,0.5284972248114121,0.09890706842918369,0.240384,19.166666666666668,1.0,1.1048119034480641,-1.209915293686611,0.9999836529884484,24.6351305420103
b2_alternating_blue_red_shared_3s_0.8uA,4,2.0,alternating_blue_red,shared,3.0,0.8,160,893,48,64,-1.210006800945031,0.375,-0.3333333333055557,0.03950037577733568,0.5291209903253203,0.09928550623830959,0.22860799999999998,19.020833333333332,1.0,1.0868397390697764,-1.21011318946463,0.9999828555476095,20.71964912500698
b2_alternating_blue_red_shared_3s_1.6uA,1,2.0,alternating_blue_red,shared,3.0,1.6,160,924,16,16,-3.1772387082042206,0.25,6.250000517127319e-11,0.05425183531361418,0.5399018331295011,0.10058848492177272,0.47308799999999995,18.53125,1.0,1.0900890449246883,-3.1770903763161655,0.9999012892645086,11.22378508397378
b2_alternating_blue_red_shared_3s_1.6uA,3,2.0,alternating_blue_red,shared,3.0,1.6,160,939,48,96,-1.2101533788339753,0.75,-0.9999999999583336,0.039521741816360124,0.5284972248114121,0.09890706842918369,0.480768,19.166666666666668,1.0,1.1048119034480641,-1.209915293686611,0.9999836529884484,25.193412207998335
