task,seed,direction,alpha,score,criterion,distance_from_naive,distance_from_trained
overlapping_shared_input_association,18,random,0.3333,0.75,0.25,99.48652575072347,32.05657191855598
overlapping_shared_input_association,18,axis,0.4,0.75,0.25,58.19155968806233,38.79437312537489
overlapping_shared_input_association,18,random,0.4,0.75,0.25,101.13296986827292,38.35391696016262
overlapping_shared_input_association,18,axis,0.4667,0.75,0.25,51.72259796940607,45.26333484403114
overlapping_shared_input_association,18,random,0.4667,0.75,0.25,103.087117381583,44.5454435879526
overlapping_shared_input_association,18,axis,0.5333,0.75,0.25,45.26333484403114,51.72259796940607
overlapping_shared_input_association,18,random,0.5333,0.75,0.25,105.30341620612033,50.60776366189269
overlapping_shared_input_association,18,axis,0.6,0.75,0.25,38.79437312537489,58.19155968806232
overlapping_shared_input_association,18,random,0.6,0.75,0.25,107.74638988336996,56.54969742732527
overlapping_shared_input_association,18,axis,0.6667,0.75,0.25,32.32541140671863,64.6605214067186
overlapping_shared_input_association,18,random,0.6667,0.75,0.25,110.37744736124095,62.359954654628936
overlapping_shared_input_association,18,axis,0.7333,0.75,0.25,25.866148281343715,71.1197845320935
overlapping_shared_input_association,18,random,0.7333,0.75,0.25,113.15666850155796,68.02629272720436
overlapping_shared_input_association,18,axis,0.8,0.75,0.25,19.39718656268744,77.5887462507498
overlapping_shared_input_association,18,random,0.8,0.75,0.25,116.06492770785061,73.5709401273207
overlapping_shared_input_association,18,axis,0.8667,0.75,0.25,12.92822484403118,84.05770796940604
overlapping_shared_input_association,18,random,0.8667,0.75,0.25,119.06970259490546,78.98238762136324
overlapping_shared_input_association,18,axis,0.9333,0.1875,0.25,6.46896171865626,90.51697109478096
overlapping_shared_input_association,18,random,0.9333,0.75,0.25,122.14853148749752,84.26330508364435
overlapping_shared_input_association,18,axis,1.0,-0.25,0.25,4.8855726555613484e-15,96.9859328134372
overlapping_shared_input_association,18,random,1.0,0.75,0.25,125.29310205390321,89.43535563714369
overlapping_shared_input_association,1,axis,0.0,0.75,0.25,95.34226739800066,0.0
overlapping_shared_input_association,1,random,0.0,0.75,0.25,95.34226739800066,0.0
overlapping_shared_input_association,1,axis,0.0667,0.75,0.25,88.982938162554,6.359329235446642
overlapping_shared_input_association,1,random,0.0667,0.75,0.25,95.03937353716957,6.323383875917992
overlapping_shared_input_association,1,axis,0.1333,0.75,0.25,82.63314315384717,12.709124244153486
overlapping_shared_input_association,1,random,0.1333,0.75,0.25,95.12362858395633,12.629804077370913
overlapping_shared_input_association,1,axis,0.2,0.75,0.25,76.2738139184005,19.06845347960013
overlapping_shared_input_association,1,random,0.2,0.75,0.25,95.61013382711413,18.946280047538405
overlapping_shared_input_association,1,axis,0.2667,0.75,0.25,69.91448468295388,25.42778271504677
overlapping_shared_input_association,1,random,0.2667,0.75,0.25,96.49827411811908,25.25812062521258
overlapping_shared_input_association,1,axis,0.3333,0.75,0.25,63.56468967424704,31.777577723753613
overlapping_shared_input_association,1,random,0.3333,0.75,0.25,97.76666974117661,31.52583670130386
overlapping_shared_input_association,1,axis,0.4,0.75,0.25,57.2053604388004,38.13690695920026
overlapping_shared_input_association,1,random,0.4,0.75,0.25,99.38396137527165,37.73009205317263
overlapping_shared_input_association,1,axis,0.4667,0.75,0.25,50.846031203353746,44.496236194646904
overlapping_shared_input_association,1,random,0.4667,0.75,0.25,101.30699165882442,43.833533977615744
overlapping_shared_input_association,1,axis,0.5333,0.75,0.25,44.496236194646904,50.846031203353746
overlapping_shared_input_association,1,random,0.5333,0.75,0.25,103.48857064771987,49.80902600876131
overlapping_shared_input_association,1,axis,0.6,0.75,0.25,38.13690695920026,57.2053604388004
overlapping_shared_input_association,1,random,0.6,0.75,0.25,105.89881747393356,55.67291842897692
