seed,block,condition,replicate,score,task_accuracy,criterion_score,criterion_accuracy,positive_response_probability,negative_response_probability,effective_distance_from_trained,effective_distance_fraction_of_axis,collapsed_by_score,control_family,edges_touched,edges_touched_fraction,edges_silenced,edges_silenced_fraction,path_edges,path_edge_fraction,path_ablation_distance,ablation_match_error
1,ablation,random_magnitude_matched_ablation,27,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.373184630140104,0.38965074024977203,False,random_control,1764,0.0027565256525652567,1764,0.0027565256525652567,629,0.0009829107910791079,10.371216803108851,0.0019678270312528667
1,ablation,random_edge_count_matched_ablation,28,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.401313360876287,0.24045426535539385,False,random_control,629,0.0009829107910791079,629,0.0009829107910791079,629,0.0009829107910791079,10.371216803108851,3.969903442232564
1,ablation,random_magnitude_matched_ablation,28,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.371601808992267,0.38959128431083645,False,random_control,1710,0.002672142214221422,1710,0.002672142214221422,629,0.0009829107910791079,10.371216803108851,0.00038500588341605635
1,ablation,random_edge_count_matched_ablation,29,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.511735657995051,0.2446020879717378,False,random_control,629,0.0009829107910791079,629,0.0009829107910791079,629,0.0009829107910791079,10.371216803108851,3.8594811451138
1,ablation,random_magnitude_matched_ablation,29,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.369447919352057,0.3895103771716455,False,random_control,1742,0.0027221472147214722,1742,0.0027221472147214722,629,0.0009829107910791079,10.371216803108851,0.0017688837567941817
1,ablation,random_edge_count_matched_ablation,30,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.232670417576768,0.23411948485764517,False,random_control,629,0.0009829107910791079,629,0.0009829107910791079,629,0.0009829107910791079,10.371216803108851,4.1385463855320825
1,ablation,random_magnitude_matched_ablation,30,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.370364981518831,0.389544825025885,False,random_control,1718,0.0026846434643464346,1718,0.0026846434643464346,629,0.0009829107910791079,10.371216803108851,0.0008518215900199522
1,ablation,random_edge_count_matched_ablation,31,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.3026018445289465,0.23674633796497976,False,random_control,629,0.0009829107910791079,629,0.0009829107910791079,629,0.0009829107910791079,10.371216803108851,4.0686149585799045
1,ablation,random_magnitude_matched_ablation,31,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.37043391162347,0.38954741426605144,False,random_control,1685,0.0026330758075807583,1685,0.0026330758075807583,629,0.0009829107910791079,10.371216803108851,0.0007828914853806879
3,ablation,trained,0,0.5625,0.78125,0.4,0.7,0.5625,0.0,0.0,0.0,False,reference,0,0.0,0,0.0,628,0.0009813634701512362,10.350818676646448,
3,ablation,full_naive_reset,0,0.0,0.5,0.4,0.7,0.0,0.0,29.886260038524682,1.0,True,full_reset,18615,0.029089300950422392,0,0.0,628,0.0009813634701512362,10.350818676646448,
3,ablation,silence_candidate_input_to_target_pathway,0,0.0,0.5,0.4,0.7,0.0,0.0,10.350818676646448,0.3463403806064658,True,candidate_pathway,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,
3,ablation,random_edge_count_matched_ablation,0,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.295844659778762,0.21066017131829629,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,4.0549740168676855
3,ablation,random_magnitude_matched_ablation,0,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.349101455183602,0.3462829220465579,False,random_control,1733,0.002708125627025625,1733,0.002708125627025625,628,0.0009813634701512362,10.350818676646448,0.0017172214628455862
3,ablation,random_edge_count_matched_ablation,1,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.359304347234143,0.21278354464682847,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,3.991514329412305
3,ablation,random_magnitude_matched_ablation,1,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.349811285966425,0.3463066731208612,False,random_control,1699,0.002654994483737182,1699,0.002654994483737182,628,0.0009813634701512362,10.350818676646448,0.0010073906800229793
3,ablation,random_edge_count_matched_ablation,2,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.199186812473377,0.20742598118608205,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,4.151631864173071
3,ablation,random_magnitude_matched_ablation,2,0.5,0.75,0.4,0.7,0.5,0.0,10.349877704499878,0.3463088954977451,False,random_control,1657,0.002589361894969106,1657,0.002589361894969106,628,0.0009813634701512362,10.350818676646448,0.0009409721465694076
3,ablation,random_edge_count_matched_ablation,3,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.398735273965749,0.2141029110272581,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,3.9520834026806986
3,ablation,random_magnitude_matched_ablation,3,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.354305037283682,0.3464570349028796,False,random_control,1663,0.002598737979078831,1663,0.002598737979078831,628,0.0009813634701512362,10.350818676646448,0.003486360637234398
3,ablation,random_edge_count_matched_ablation,4,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.20002459164102,0.2074540134379116,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,4.150794085005428
3,ablation,random_magnitude_matched_ablation,4,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.350531884659711,0.34633078449151644,False,random_control,1699,0.002654994483737182,1699,0.002654994483737182,628,0.0009813634701512362,10.350818676646448,0.0002867919867366453
3,ablation,random_edge_count_matched_ablation,5,0.5625,0.78125,0.4,0.7,0.5625,0.0,6.405144647092257,0.21431736988287423,False,random_control,628,0.0009813634701512362,628,0.0009813634701512362,628,0.0009813634701512362,10.350818676646448,3.9456740295541906
3,ablation,random_magnitude_matched_ablation,5,0.5625,0.78125,0.4,0.7,0.5625,0.0,10.347882525543035,0.34624213642671137,False,random_control,1711,0.0026737466519566326,1711,0.0026737466519566326,628,0.0009813634701512362,10.350818676646448,0.0029361511034124987
