task,seed,direction,alpha,score,criterion,distance_from_naive,distance_from_trained
xor_electrode_classification,31,axis,0.5333,0.6,0.25,49.222621940339735,56.24689153799696
xor_electrode_classification,31,random,0.5333,0.6,0.25,113.84551119358858,54.73654543581514
xor_electrode_classification,31,axis,0.6,0.6,0.25,42.18780539133468,63.28170808700201
xor_electrode_classification,31,random,0.6,0.6,0.25,116.37952833917488,61.082269798681814
xor_electrode_classification,31,axis,0.6667,0.475,0.25,35.15298884232963,70.31652463600707
xor_electrode_classification,31,random,0.6667,0.6,0.25,119.10357351418699,67.2671844116591
xor_electrode_classification,31,axis,0.7333,0.2666666666666666,0.25,28.1287192446724,77.3407942336643
xor_electrode_classification,31,random,0.7333,0.6,0.25,121.98279773479805,73.2934400888125
xor_electrode_classification,31,axis,0.8,0.1333333333333333,0.25,21.09390269566734,84.37561078266936
xor_electrode_classification,31,random,0.8,0.6,0.25,124.99594261097239,79.18244757266034
xor_electrode_classification,31,axis,0.8667,0.1333333333333333,0.25,14.05908614666228,91.41042733167441
xor_electrode_classification,31,random,0.8667,0.6,0.25,128.10849763099614,84.92320653211667
xor_electrode_classification,31,axis,0.9333,-0.2,0.25,7.034816549005056,98.43469692933164
xor_electrode_classification,31,random,0.9333,0.6,0.25,131.30307479066204,90.52776862193686
xor_electrode_classification,31,axis,1.0,-0.2,0.25,5.299861571864043e-15,105.4695134783367
xor_electrode_classification,31,random,1.0,0.6,0.25,134.57023385412475,96.01694806019482
xor_electrode_classification,29,axis,0.0,0.6,0.25,103.32114909223678,0.0
xor_electrode_classification,29,random,0.0,0.6,0.25,103.32114909223678,0.0
xor_electrode_classification,29,axis,0.0667,0.6,0.25,96.42962844778458,6.891520644452192
xor_electrode_classification,29,random,0.0667,0.6,0.25,102.94535923715007,6.84366764448319
xor_electrode_classification,29,axis,0.1333,0.6,0.25,89.54843991824161,13.772709173995164
xor_electrode_classification,29,random,0.1333,0.6,0.25,102.98167224052567,13.669225817005131
xor_electrode_classification,29,axis,0.2,0.6,0.25,82.65691927378943,20.66422981844736
xor_electrode_classification,29,random,0.2,0.6,0.25,103.45354632618823,20.505523792970816
xor_electrode_classification,29,axis,0.2667,0.6,0.25,75.76539862933723,27.555750462899553
xor_electrode_classification,29,random,0.2667,0.6,0.25,104.3603645150674,27.328659945307763
xor_electrode_classification,29,axis,0.3333,0.6,0.25,68.88421009979426,34.43693899244252
xor_electrode_classification,29,random,0.3333,0.6,0.25,105.6737277158891,34.084316361052814
xor_electrode_classification,29,axis,0.4,0.6,0.25,61.992689455342074,41.32845963689471
xor_electrode_classification,29,random,0.4,0.6,0.25,107.3556328235865,40.74941398532065
xor_electrode_classification,29,axis,0.4667,0.6,0.25,55.101168810889874,48.21998028134691
xor_electrode_classification,29,random,0.4667,0.6,0.25,109.35882091908402,47.287423990587065
xor_electrode_classification,29,axis,0.5333,0.6,0.25,48.21998028134691,55.101168810889874
xor_electrode_classification,29,random,0.5333,0.6,0.25,111.63269067366652,53.673942766876685
xor_electrode_classification,29,axis,0.6,0.6,0.25,41.32845963689472,61.992689455342074
xor_electrode_classification,29,random,0.6,0.6,0.25,114.14199595481433,59.92343403537555
xor_electrode_classification,29,axis,0.6667,0.2666666666666666,0.25,34.43693899244253,68.88421009979426
xor_electrode_classification,29,random,0.6667,0.6,0.25,116.83750377048837,66.01264875026052
xor_electrode_classification,29,axis,0.7333,0.08333333333333331,0.25,27.55575046289956,75.76539862933723
xor_electrode_classification,29,random,0.7333,0.6,0.25,119.68338509365098,71.94023746926638
xor_electrode_classification,29,axis,0.8,0.1333333333333333,0.25,20.66422981844735,82.65691927378943
xor_electrode_classification,29,random,0.8,0.6,0.25,122.66066223159976,77.73160161163689
xor_electrode_classification,29,axis,0.8667,0.1333333333333333,0.25,13.77270917399516,89.54843991824161
xor_electrode_classification,29,random,0.8667,0.6,0.25,125.7410734252417,83.38558476025888
xor_electrode_classification,29,axis,0.9333,-0.2,0.25,6.891520644452192,96.4296284477846
xor_electrode_classification,29,random,0.9333,0.6,0.25,128.9040418196371,88.90780586843422
xor_electrode_classification,29,axis,1.0,-0.2,0.25,5.198338489334579e-15,103.32114909223678
xor_electrode_classification,29,random,1.0,0.6,0.25,132.13893937876904,94.31731392688422
xor_electrode_classification,18,axis,0.0,0.6,0.25,103.38441246646313,0.0
xor_electrode_classification,18,random,0.0,0.6,0.25,103.38441246646313,0.0
xor_electrode_classification,18,axis,0.0667,0.6,0.25,96.48867215495002,6.89574031151309
xor_electrode_classification,18,random,0.0667,0.6,0.25,103.00248575165062,6.8466919966879844
xor_electrode_classification,18,axis,0.1333,0.6,0.25,89.6032702846836,13.781142181779535
xor_electrode_classification,18,random,0.1333,0.6,0.25,103.03604248472044,13.675818931123144
xor_electrode_classification,18,axis,0.2,0.6,0.25,82.7075299731705,20.676882493292627
xor_electrode_classification,18,random,0.2,0.6,0.25,103.50626830906981,20.514971018685724
xor_electrode_classification,18,axis,0.2667,0.6,0.25,75.81178966165741,27.572622804805714
xor_electrode_classification,18,random,0.2667,0.6,0.25,104.41035180444307,27.33727451034708
xor_electrode_classification,18,axis,0.3333,0.6,0.25,68.92638779139097,34.45802467507216
xor_electrode_classification,18,random,0.3333,0.6,0.25,105.72090206366246,34.094675428917036
xor_electrode_classification,18,axis,0.4,0.6,0.25,62.03064747987788,41.35376498658525
xor_electrode_classification,18,random,0.4,0.6,0.25,107.40084000032564,40.76396061684786
xor_electrode_classification,18,axis,0.4667,0.6,0.25,55.134907168364784,48.24950529809834
xor_electrode_classification,18,random,0.4667,0.6,0.25,109.40363653138755,47.309725724688384
xor_electrode_classification,18,axis,0.5333,0.6,0.25,48.24950529809834,55.134907168364784
xor_electrode_classification,18,random,0.5333,0.6,0.25,111.67749792782277,53.702910397107864
xor_electrode_classification,18,axis,0.6,0.6,0.25,41.35376498658525,62.03064747987788
xor_electrode_classification,18,random,0.6,0.6,0.25,114.18689245322976,59.95764927013261
xor_electrode_classification,18,axis,0.6667,0.6,0.25,34.45802467507217,68.92638779139097
xor_electrode_classification,18,random,0.6667,0.6,0.25,116.89031377177795,66.06546156522607
xor_electrode_classification,18,axis,0.7333,0.6,0.25,27.57262280480572,75.81178966165741
xor_electrode_classification,18,random,0.7333,0.6,0.25,119.74227271346922,72.00716663257104
xor_electrode_classification,18,axis,0.8,0.4083333333333334,0.25,20.676882493292624,82.7075299731705
xor_electrode_classification,18,random,0.8,0.6,0.25,122.72069802271277,77.80388845115958
xor_electrode_classification,18,axis,0.8667,0.4666666666666666,0.25,13.781142181779531,89.6032702846836
xor_electrode_classification,18,random,0.8667,0.6,0.25,125.7963452322833,83.45380068836663
xor_electrode_classification,18,axis,0.9333,0.04999999999999999,0.25,6.895740311513089,96.48867215495002
xor_electrode_classification,18,random,0.9333,0.6,0.25,128.9484224468699,88.96365815019097
xor_electrode_classification,18,axis,1.0,-0.2,0.25,5.222493857672666e-15,103.38441246646313
xor_electrode_classification,18,random,1.0,0.6,0.25,132.17591433863157,94.36616394497966
xor_electrode_classification,4,axis,0.0,0.6,0.25,105.6188650542683,0.0
xor_electrode_classification,4,random,0.0,0.6,0.25,105.6188650542683,0.0
xor_electrode_classification,4,axis,0.0667,0.6,0.25,98.5740867551486,7.044778299119693
xor_electrode_classification,4,random,0.0667,0.6,0.25,105.21719473642037,6.992568814843789
xor_electrode_classification,4,axis,0.1333,0.6,0.25,91.53987034253434,14.078994711733966
xor_electrode_classification,4,random,0.1333,0.6,0.25,105.23464612464628,13.965884360841944
xor_electrode_classification,4,axis,0.2,0.6,0.25,84.49509204341464,21.123773010853665
