protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,replicates,task_output_dir
b-2_static_correlated_3s_50uA,conditioned_electrode_association,-2.0,static,correlated,3.0,50.0,160,894.3333333333334,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,49.96791745441957,0.0,49.96791745441957,-0.4237429351973643,1.8857508147599827e-11,0.7511823646121725,1.0,-0.0688183306585196,269400.0,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b-2_epoch_pause_correlated_3s_50uA,conditioned_electrode_association,-2.0,epoch_pause,correlated,3.0,50.0,160,614.6666666666666,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,34.969373933940155,0.0,34.969373933940155,-0.2440083220458229,1.8857508147599827e-11,0.8494545131454418,1.0,-0.0562017929641114,172374.66666666666,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b0_static_correlated_3s_50uA,conditioned_electrode_association,0.0,static,correlated,3.0,50.0,160,596.0,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,33.53892148565935,0.0,33.53892148565935,-0.2242780677134183,1.8857508147599827e-11,0.8575144744117956,1.0,-0.0489837819723556,144755.33333333334,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b-2_alternating_blue_red_correlated_3s_50uA,conditioned_electrode_association,-2.0,alternating_blue_red,correlated,3.0,50.0,160,553.6666666666666,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,32.44889805317661,0.0,32.44889805317661,-0.2138490643907584,1.8857508147599827e-11,0.8645233215731046,1.0,-0.0491626612198481,147730.33333333334,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b0_alternating_blue_red_correlated_3s_50uA,conditioned_electrode_association,0.0,alternating_blue_red,correlated,3.0,50.0,160,553.6666666666666,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,32.44889805317661,0.0,32.44889805317661,-0.2138490643907584,1.8857508147599827e-11,0.8645233215731046,1.0,-0.0491626612198481,147730.33333333334,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b2_alternating_blue_red_correlated_3s_50uA,conditioned_electrode_association,2.0,alternating_blue_red,correlated,3.0,50.0,160,553.6666666666666,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,32.44889805317661,0.0,32.44889805317661,-0.2138490643907584,1.8857508147599827e-11,0.8645233215731046,1.0,-0.0491626612198481,147730.33333333334,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b2_epoch_pause_shared_3s_50uA,conditioned_electrode_association,2.0,epoch_pause,shared,3.0,50.0,160,452.3333333333333,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,26.25041298777603,0.0,26.25041298777603,-0.1599535038969782,1.8857508147599827e-11,0.9038984323257068,1.0,-0.0470705133591853,135978.0,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b2_static_correlated_3s_50uA,conditioned_electrode_association,2.0,static,correlated,3.0,50.0,160,406.6666666666667,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,24.18134032113984,0.0,24.18134032113984,-0.1339197326681269,1.8857508147599827e-11,0.9162798532806588,1.0,-0.0385948498797901,99431.0,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b2_epoch_pause_correlated_3s_50uA,conditioned_electrode_association,2.0,epoch_pause,correlated,3.0,50.0,160,276.0,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,17.876212703374872,0.0,17.876212703374872,-0.0775762100618071,1.8857508147599827e-11,0.9496713293584018,1.0,-0.0233175601385163,61778.666666666664,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b-2_chirp_shared_3s_10uA,conditioned_electrode_association,-2.0,chirp,shared,3.0,10.0,160,3716.3333333333335,0.0,1.0,1.0,60.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,15.17385263284146,0.0,15.17385263284146,-0.0479969390551489,1.8857508147599827e-11,0.9610116777618732,1.0,-0.006828394257013,42606.0,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
