protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,replicates
b0_chirp_shared_3s_10uA,evoked_channel_response,0.0,chirp,shared,3.0,10.0,160,2567.3333333333335,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.145449502348343,0.0,4.145449502348343,-4145449501.3483415,1.0,0.0,0.0,0.0,5967.333333333333,0.0,3
b0_gated_burst_shared_3s_10uA,evoked_channel_response,0.0,gated_burst,shared,3.0,10.0,160,1018.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.8253707548091342,0.0,3.8253707548091342,-3825370753.809134,1.0,0.0,0.0,0.0,4756.666666666667,0.0,3
b2_gated_burst_correlated_3s_10uA,evoked_channel_response,2.0,gated_burst,correlated,3.0,10.0,160,637.3333333333334,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.7283602323136034,0.0,3.7283602323136034,-3728360231.313603,1.0,0.0,0.0,0.0,4063.3333333333335,0.0,3
b-2_chirp_correlated_3s_10uA,evoked_channel_response,-2.0,chirp,correlated,3.0,10.0,160,2179.3333333333335,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.627793479694932,0.0,3.627793479694932,-3627793478.6949315,1.0,0.0,0.0,0.0,4782.333333333333,0.0,3
b-2_gated_burst_shared_3s_10uA,evoked_channel_response,-2.0,gated_burst,shared,3.0,10.0,160,1011.3333333333334,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.077276513161852,0.0,3.077276513161852,-3077276512.1618514,1.0,0.0,0.0,0.0,3642.6666666666665,0.0,3
b2_chirp_correlated_3s_10uA,evoked_channel_response,2.0,chirp,correlated,3.0,10.0,160,986.3333333333334,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2271706858940348,0.0,1.2271706858940348,-1227170684.8940346,1.0,0.0,0.0,0.0,899.3333333333334,0.0,3
b0_chirp_correlated_3s_10uA,evoked_channel_response,0.0,chirp,correlated,3.0,10.0,160,1495.3333333333333,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2016119089544324,0.0,1.2016119089544324,-1201611907.9544322,1.0,0.0,0.0,0.0,694.0,0.0,3
b-2_gated_burst_correlated_3s_10uA,evoked_channel_response,-2.0,gated_burst,correlated,3.0,10.0,160,610.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.17443732399478,0.0,1.17443732399478,-1174437322.9947798,1.0,0.0,0.0,0.0,634.6666666666666,0.0,3
b0_gated_burst_correlated_3s_10uA,evoked_channel_response,0.0,gated_burst,correlated,3.0,10.0,160,569.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.031221012957082,0.0,1.031221012957082,-1031221011.9570819,1.0,0.0,0.0,0.0,604.3333333333334,0.0,3
b-2_static_shared_3s_10uA,evoked_channel_response,-2.0,static,shared,3.0,10.0,160,1513.6666666666667,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07150696270219169,0.0,0.07150696270219169,-71506961.70219168,1.0,0.0,0.0,0.0,21.333333333333332,0.0,3
b-2_alternating_blue_red_shared_3s_10uA,evoked_channel_response,-2.0,alternating_blue_red,shared,3.0,10.0,160,918.6666666666666,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04790586406300757,0.0,0.04790586406300757,-47905863.06300757,1.0,0.0,0.0,0.0,17.666666666666668,0.0,3
b0_alternating_blue_red_shared_3s_10uA,evoked_channel_response,0.0,alternating_blue_red,shared,3.0,10.0,160,918.6666666666666,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04790586406300757,0.0,0.04790586406300757,-47905863.06300757,1.0,0.0,0.0,0.0,17.666666666666668,0.0,3
b2_alternating_blue_red_shared_3s_10uA,evoked_channel_response,2.0,alternating_blue_red,shared,3.0,10.0,160,918.6666666666666,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04790586406300757,0.0,0.04790586406300757,-47905863.06300757,1.0,0.0,0.0,0.0,17.666666666666668,0.0,3
b2_static_shared_3s_10uA,evoked_channel_response,2.0,static,shared,3.0,10.0,160,689.3333333333334,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04094143095171849,0.0,0.04094143095171849,-40941429.95171849,1.0,0.0,0.0,0.0,10.0,0.0,3
b-2_epoch_pause_shared_3s_10uA,evoked_channel_response,-2.0,epoch_pause,shared,3.0,10.0,160,1142.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03167375243664463,0.0,0.03167375243664463,-31673751.43664463,1.0,0.0,0.0,0.0,9.333333333333334,0.0,3
b0_static_shared_3s_10uA,evoked_channel_response,0.0,static,shared,3.0,10.0,160,1002.6666666666666,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.024679376967541383,0.0,0.024679376967541383,-24679375.96754138,1.0,0.0,0.0,0.0,6.0,0.0,3
b-2_alternating_blue_red_correlated_3s_10uA,evoked_channel_response,-2.0,alternating_blue_red,correlated,3.0,10.0,160,553.6666666666666,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
b-2_epoch_pause_correlated_3s_10uA,evoked_channel_response,-2.0,epoch_pause,correlated,3.0,10.0,160,614.6666666666666,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
b-2_static_correlated_3s_10uA,evoked_channel_response,-2.0,static,correlated,3.0,10.0,160,894.3333333333334,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
b0_alternating_blue_red_correlated_3s_10uA,evoked_channel_response,0.0,alternating_blue_red,correlated,3.0,10.0,160,553.6666666666666,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
b0_epoch_pause_correlated_3s_10uA,evoked_channel_response,0.0,epoch_pause,correlated,3.0,10.0,160,403.6666666666667,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
b0_epoch_pause_shared_3s_10uA,evoked_channel_response,0.0,epoch_pause,shared,3.0,10.0,160,713.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
b0_static_correlated_3s_10uA,evoked_channel_response,0.0,static,correlated,3.0,10.0,160,596.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
b2_alternating_blue_red_correlated_3s_10uA,evoked_channel_response,2.0,alternating_blue_red,correlated,3.0,10.0,160,553.6666666666666,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
b2_epoch_pause_correlated_3s_10uA,evoked_channel_response,2.0,epoch_pause,correlated,3.0,10.0,160,276.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
b2_epoch_pause_shared_3s_10uA,evoked_channel_response,2.0,epoch_pause,shared,3.0,10.0,160,452.3333333333333,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
b2_static_correlated_3s_10uA,evoked_channel_response,2.0,static,correlated,3.0,10.0,160,406.6666666666667,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3
