task,task_label,seed,delta_norm,cosine_to_task_mean,angle_to_task_mean_deg,pc1,pc2,pc3,uncentered_pc1
multi_association_mapping,Multi-map,12,2.41981841347757,0.9470940900561582,18.72075244842102,-0.13146877654438008,0.10650529198381471,-0.4079682000082955,-2.2923930476928414
multi_association_mapping,Multi-map,13,2.4400629352200003,0.8905313503541944,27.059907761086933,-0.6591383253021917,-0.04795425526805204,0.1766783890768233,-2.1722452389763465
multi_association_mapping,Multi-map,14,2.59003476660993,0.9216040627549412,22.83827694088111,0.26370755250966416,0.03515911516048849,-0.6797810917040501,-2.388481472663842
multi_association_mapping,Multi-map,15,2.5161665809049474,0.9431908350509912,19.405488510068615,-0.22470151620960152,-0.08910070789953467,-0.3223836869575252,-2.3742298930358765
multi_association_mapping,Multi-map,16,2.491404683408928,0.9532074577739938,17.596818204148015,0.170914443104707,0.3691673158732665,-0.07343677622005804,-2.3752573666385057
multi_association_mapping,Multi-map,17,2.491073539028126,0.9463259071964186,18.857404614604484,-0.4168229249473004,-0.13413557071412066,0.08125460107591047,-2.35760792929771
multi_association_mapping,Multi-map,18,2.499923444655445,0.9065150804890589,24.97188173189343,0.24863250416610505,0.01781488952272617,0.4656656514286724,-2.2656247748560308
multi_association_mapping,Multi-map,19,2.4239400649194622,0.9542808277597827,17.392238726591025,0.16607663808084117,0.06497074401970376,0.26332636364215145,-2.3129104473343034
multi_association_mapping,Multi-map,20,2.4427805711068076,0.9018892321465716,25.592479629860534,0.23864730293662373,0.10001636118943824,0.08329667809167655,-2.2021577849392218
multi_association_mapping,Multi-map,21,2.366037625912175,0.9382923270568311,20.23327543876416,-0.01902203538139653,0.4371385789704416,0.2895976330276353,-2.2191554425826197
multi_association_mapping,Multi-map,22,2.581423338249079,0.8864102873251284,27.574425509708224,0.8529943162170732,0.29932905859143616,0.13800626432770874,-2.288803148399151
multi_association_mapping,Multi-map,23,2.6898966884524627,0.9130001972758303,24.076693938233998,-0.1550691714500051,-0.16954465940743568,-0.678814428177737,-2.4580299636272334
multi_association_mapping,Multi-map,24,2.266817257209135,0.9429598484505425,19.445282235826586,-0.36382950606209585,-0.027026920901434826,0.06867580769662847,-2.1369010637080255
multi_association_mapping,Multi-map,25,2.3783916030921186,0.9270643919833951,22.01826450178035,-0.4139745348371596,0.03372540778199013,0.13003755419697552,-2.2046739768810366
multi_association_mapping,Multi-map,26,2.350403232623728,0.9322428046984594,21.21282938125965,-0.09484079825166596,0.2781772941253702,-0.4078273689096961,-2.1912070415670253
multi_association_mapping,Multi-map,27,2.39420964335763,0.8991787460830394,25.949673827067176,0.43065712917424304,-0.2603233937409104,-0.02565331366146402,-2.1522410800758123
multi_association_mapping,Multi-map,28,2.390411524718139,0.9475879509308573,18.632389295983838,-0.06284483002725892,0.27904050525371565,-0.005824286778850588,-2.2648051889035954
multi_association_mapping,Multi-map,29,2.6359659614642896,0.8925826108283978,26.800407609586024,0.32950358856419476,-0.681317857058577,-0.16934949132872587,-2.353792670443866
multi_association_mapping,Multi-map,30,2.246493658760641,0.9335625103304248,21.00286424582801,-0.47044692187789033,0.08747311009908523,0.13017308770068742,-2.096517160452162
multi_association_mapping,Multi-map,31,2.487725526231559,0.9602122642715608,16.21671294207457,-0.2740109080828334,-0.25364191919696916,-0.14124182582152192,-2.389455335361321
multi_association_mapping,Multi-map,32,2.458905809419783,0.9079668933850957,24.77411389574956,0.0018620597860072123,0.46245134653940445,0.2788849952513161,-2.2328115217256377
multi_association_mapping,Multi-map,33,2.498993230304904,0.9415170276130619,19.69209783794255,-0.09781956161999254,-0.04624245799039575,0.10688395333453736,-2.3532904420593788
multi_association_mapping,Multi-map,34,2.4985172936269455,0.9419951429818996,19.610639861433913,0.03022471755790558,0.30214954365631197,-0.2949043788533062,-2.3549009956890323
