task_name,task_label,protocol_id,beta,schedule,spatial_mode,duration_s,current_uA,seeds,forgetting_score_mean,forgetting_score_sd,reset_score_mean,reset_minus_no_reset_weight_norm_mean,reset_norm_over_trace_norm_mean,erasure_projection_reset_vs_no_reset_mean,reset_to_erasure_axis_cosine_mean,reset_to_erasure_axis_abs_cosine_mean,reset_to_erasure_axis_angle_deg_mean,reset_orthogonal_fraction_mean,relearn_savings_mean
conditioned_electrode_association,Association,b2_alternating_blue_red_shared_3s_50uA,2.0,alternating_blue_red,shared,3.0,50.0,50,0.015,0.04103259033241449,0.985,54.21251548993506,0.8870162891200075,-0.020560533923291126,-0.023176869019882043,0.023176869019882043,91.32808881261013,0.9997061684857858,1.0
conditioned_electrode_association,Association,b2_chirp_correlated_3s_10uA,2.0,chirp,correlated,3.0,10.0,50,0.0,0.0,1.0,1.4920938174060436,0.024475106316122503,3.2792321462562014e-05,6.603984867556924e-05,0.006268280463865569,89.99616341680658,0.9998969983633854,1.0
conditioned_electrode_association,Association,b2_chirp_correlated_3s_50uA,2.0,chirp,correlated,3.0,50.0,50,0.06,0.06308400618805604,0.94,68.45091236132743,1.1200126248062823,-0.021660617036079154,-0.01939162290324041,0.01939162290324041,91.11114655565233,0.999795233506354,1.0
conditioned_electrode_association,Association,b2_chirp_shared_3s_10uA,2.0,chirp,shared,3.0,10.0,50,0.005,0.024743582965269673,0.995,6.758610721949845,0.11040686572760965,0.0004040781365583953,0.0037433080289259236,0.008240299361768554,89.7855113776792,0.9999356451582593,1.0
conditioned_electrode_association,Association,b2_chirp_shared_3s_50uA,2.0,chirp,shared,3.0,50.0,50,0.08,0.060609152673132646,0.92,158.18778212986268,2.590800208094177,-0.011653335154056383,-0.0045088672134435594,0.005042063243173995,90.25834273391412,0.9999797523709831,1.0
conditioned_electrode_association,Association,b2_epoch_pause_correlated_3s_10uA,2.0,epoch_pause,correlated,3.0,10.0,50,0.0,0.0,1.0,0.0027070310909155758,4.62963551815564e-05,0.0,0.0,0.0,90.0,1.0,1.0
conditioned_electrode_association,Association,b2_epoch_pause_correlated_3s_50uA,2.0,epoch_pause,correlated,3.0,50.0,50,0.005,0.024743582965269673,0.995,18.38973785917397,0.30130834106721294,-0.003636649934666531,-0.0116594266241839,0.013446252045545858,90.66809083546188,0.9998704705345526,1.0
conditioned_electrode_association,Association,b2_epoch_pause_shared_3s_10uA,2.0,epoch_pause,shared,3.0,10.0,50,0.0,0.0,1.0,0.01722156162963937,0.00028378319030942476,0.0,0.0,0.0,90.0,1.0,1.0
conditioned_electrode_association,Association,b2_epoch_pause_shared_3s_50uA,2.0,epoch_pause,shared,3.0,50.0,50,0.01,0.03425593945223371,0.99,28.951303410553308,0.4736410122820975,-0.010810396649075248,-0.02275422005266468,0.02305099926546991,91.30389748402266,0.9996893448380149,1.0
conditioned_electrode_association,Association,b2_gated_burst_correlated_3s_10uA,2.0,gated_burst,correlated,3.0,10.0,50,0.0,0.0,1.0,3.8763560431687814,0.06344551914670632,0.0002725123827438277,0.004260037843192278,0.005741625168227833,89.75587884800616,0.999936470328791,1.0
conditioned_electrode_association,Association,b2_gated_burst_correlated_3s_50uA,2.0,gated_burst,correlated,3.0,50.0,50,0.0,0.0,1.0,62.907167666873335,1.0302479527568889,-0.022661828768341045,-0.021982680588089592,0.021982680588089592,91.25963530397662,0.9997434605176504,1.0
conditioned_electrode_association,Association,b2_gated_burst_shared_3s_10uA,2.0,gated_burst,shared,3.0,10.0,50,0.0,0.0,1.0,13.324418760313739,0.21825086311524178,6.421880537443038e-05,0.0005480518363356389,0.009289340455265655,89.9685989861588,0.9999272864661567,1.0
conditioned_electrode_association,Association,b2_gated_burst_shared_3s_50uA,2.0,gated_burst,shared,3.0,50.0,50,0.0,0.0,1.0,126.69289781452743,2.07570214460978,-0.022587605647021974,-0.01086971385735633,0.01086971385735633,90.6228059364923,0.9999333876726783,1.0
conditioned_electrode_association,Association,b2_static_correlated_3s_10uA,2.0,static,correlated,3.0,10.0,50,0.0,0.0,1.0,0.010606719842007206,0.00018308929073454155,3.6052349988354114e-08,0.00014394053968537008,0.00014394053968537008,89.99175281411954,0.9999999966849791,1.0
conditioned_electrode_association,Association,b2_static_correlated_3s_50uA,2.0,static,correlated,3.0,50.0,50,0.0075,0.029987242185261904,0.9925,23.89967317720846,0.3914019467565574,-0.006257422298125428,-0.015733142977405537,0.016542452692806374,90.9015397167689,0.9998096853480836,1.0
