task,task_label,component,variance_explained,cumulative_variance_explained,singular_value
conditioned_electrode_association,Association,24,0.0033560086940488706,0.9762214471587443,0.18219042172171537
conditioned_electrode_association,Association,25,0.0032319183617338714,0.9794533655204781,0.17879039895862675
conditioned_electrode_association,Association,26,0.0026395030008588396,0.9820928685213369,0.1615753415140448
conditioned_electrode_association,Association,27,0.002503006514364029,0.984595875035701,0.15734211817944357
conditioned_electrode_association,Association,28,0.0020585261562754563,0.9866544011919764,0.14268955952783274
conditioned_electrode_association,Association,29,0.0018787246652911236,0.9885331258572676,0.13631560364036277
conditioned_electrode_association,Association,30,0.00166662760099409,0.9901997534582617,0.12839061744844496
conditioned_electrode_association,Association,31,0.0016224091010815826,0.9918221625593433,0.12667595568650344
conditioned_electrode_association,Association,32,0.0012966484728564153,0.9931188110321996,0.1132465887542777
conditioned_electrode_association,Association,33,0.0012074194335242518,0.9943262304657238,0.10928060313851953
conditioned_electrode_association,Association,34,0.0009753961486883196,0.9953016266144121,0.09822103829115426
conditioned_electrode_association,Association,35,0.0009182094101296958,0.9962198360245418,0.09529823826877559
conditioned_electrode_association,Association,36,0.0007543149408445215,0.9969741509653863,0.08637545685972421
conditioned_electrode_association,Association,37,0.0005583202506608333,0.9975324712160472,0.07431144265959874
conditioned_electrode_association,Association,38,0.0005070010772530836,0.9980394722933003,0.07081388861880833
conditioned_electrode_association,Association,39,0.00043512184951537207,0.9984745941428156,0.06560235777956626
conditioned_electrode_association,Association,40,0.0003383652213195781,0.9988129593641354,0.05785046597587137
conditioned_electrode_association,Association,41,0.00029902614893138256,0.9991119855130668,0.05438367931803056
conditioned_electrode_association,Association,42,0.00025033996218231866,0.9993623254752491,0.049759853566782
conditioned_electrode_association,Association,43,0.00016144449783686346,0.9995237699730859,0.0399600135430333
conditioned_electrode_association,Association,44,0.0001399775381307586,0.9996637475112167,0.03720858700565621
conditioned_electrode_association,Association,45,0.00010729000631839613,0.999771037517535,0.03257569108525127
conditioned_electrode_association,Association,46,7.951572015472938e-05,0.9998505532376898,0.028044035022178667
conditioned_electrode_association,Association,47,7.601464291888612e-05,0.9999265678806086,0.027419695802616446
conditioned_electrode_association,Association,48,3.7753677746072937e-05,0.9999643215583547,0.01932384898103208
conditioned_electrode_association,Association,49,3.5678441645093604e-05,0.9999999999999998,0.0187852483513548
conditioned_electrode_association,Association,50,3.673310349716256e-33,0.9999999999999998,1.9060874141521748e-16
multi_association_mapping,Multi-map,1,0.10662427575492116,0.10662427575492116,2.0675687616974074
multi_association_mapping,Multi-map,2,0.08221390611208815,0.1888381818670093,1.8155347093028145
multi_association_mapping,Multi-map,3,0.07599788703763345,0.26483606890464273,1.7455515286029393
multi_association_mapping,Multi-map,4,0.06449402663089462,0.3293300955355374,1.6080207962136963
multi_association_mapping,Multi-map,5,0.05430980382710488,0.38363989936264226,1.475608104466409
multi_association_mapping,Multi-map,6,0.05148229971600761,0.43512219907864985,1.4366827725140086
multi_association_mapping,Multi-map,7,0.04683069357949167,0.4819528926581415,1.370241793544276
multi_association_mapping,Multi-map,8,0.04349541545280706,0.5254483081109487,1.3205463723408073
multi_association_mapping,Multi-map,9,0.04243749942467398,0.5678858075356227,1.3043880387330404
multi_association_mapping,Multi-map,10,0.03931336279809216,0.6071991703337148,1.2554574896795458
multi_association_mapping,Multi-map,11,0.03259184165780075,0.6397910119915156,1.1431056350412974
multi_association_mapping,Multi-map,12,0.030110102457190698,0.6699011144487063,1.0987225334395256
multi_association_mapping,Multi-map,13,0.028758759021189136,0.6986598734698954,1.0737841414772082
multi_association_mapping,Multi-map,14,0.02582546787269588,0.7244853413425913,1.017550598155962
multi_association_mapping,Multi-map,15,0.022301456627981348,0.7467867979705727,0.945580548630393
multi_association_mapping,Multi-map,16,0.020120473575466126,0.7669072715460387,0.8981544252774434
multi_association_mapping,Multi-map,17,0.01874544393864456,0.7856527154846832,0.8669215120913418
multi_association_mapping,Multi-map,18,0.01679360966218375,0.802446325146867,0.8205479070478559
