task,task_label,seed_i,seed_j,cosine,angle_deg
conditioned_electrode_association,Association,2,7,0.8427790646690881,32.56524392033261
conditioned_electrode_association,Association,2,8,0.8901042112841435,27.113655055182083
conditioned_electrode_association,Association,2,9,0.7343764173339594,42.745449581093254
conditioned_electrode_association,Association,2,10,0.7973381781055409,37.12333637696596
conditioned_electrode_association,Association,2,11,0.9615741767194479,15.93491678098413
conditioned_electrode_association,Association,2,12,0.900235185781312,25.81100140231257
conditioned_electrode_association,Association,2,13,0.8284248785294085,34.06272669520057
conditioned_electrode_association,Association,2,14,0.8644136332977918,30.1841828596223
conditioned_electrode_association,Association,2,15,0.9010479083968145,25.703846181215475
conditioned_electrode_association,Association,2,16,0.8529039127370934,31.471066142626473
conditioned_electrode_association,Association,2,17,0.92184109043404,22.803261611933667
conditioned_electrode_association,Association,2,18,0.7970020722716732,37.15523251935648
conditioned_electrode_association,Association,2,19,0.8608089184927967,30.59247010993749
conditioned_electrode_association,Association,2,20,0.7859290159841322,38.19331729832487
conditioned_electrode_association,Association,2,21,0.7919166558492283,37.63501156316647
conditioned_electrode_association,Association,2,22,0.8025539495249671,36.625316653621574
conditioned_electrode_association,Association,2,23,0.8622762505562308,30.42687103778605
conditioned_electrode_association,Association,2,24,0.8704264354046731,29.491768087864298
conditioned_electrode_association,Association,2,25,0.9063682993641964,24.991794880226468
conditioned_electrode_association,Association,2,26,0.8433246701312562,32.507120034276205
conditioned_electrode_association,Association,2,27,0.8463690096988117,32.1810880381541
conditioned_electrode_association,Association,2,28,0.9021843213574229,25.553311296304337
conditioned_electrode_association,Association,2,29,0.8587189127837968,30.826954635795783
conditioned_electrode_association,Association,2,30,0.947907802734445,18.574944115873162
conditioned_electrode_association,Association,2,31,0.9252215024331665,22.298220606707744
conditioned_electrode_association,Association,2,32,0.7672009400992317,39.89680320021565
conditioned_electrode_association,Association,2,33,0.8147015631252725,35.442136190849695
conditioned_electrode_association,Association,2,34,0.8445164188460609,32.37983888013401
conditioned_electrode_association,Association,2,35,0.9564861604586,16.96441420087377
conditioned_electrode_association,Association,2,36,0.7873448861688255,38.061925315299284
conditioned_electrode_association,Association,2,37,0.7374370957243568,42.486449340275854
conditioned_electrode_association,Association,2,38,0.9023156231100992,25.535865092502462
conditioned_electrode_association,Association,2,39,0.8026064841510119,36.62027090461924
conditioned_electrode_association,Association,2,40,0.8966094034827091,26.28409325790212
conditioned_electrode_association,Association,2,41,0.7882828883946895,37.9746669409174
conditioned_electrode_association,Association,2,42,0.8954853314082356,26.429162715527575
conditioned_electrode_association,Association,2,43,0.7954575913701204,37.301502313820976
conditioned_electrode_association,Association,2,44,0.8411653969054677,32.73661197082465
conditioned_electrode_association,Association,2,45,0.9451007019651869,19.07340381218432
conditioned_electrode_association,Association,2,46,0.8419151305590236,32.65709133335534
conditioned_electrode_association,Association,2,47,0.8044205566420949,36.44566765607254
