probe,condition,control_mode,protocol_id,seed,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,initial_trials,initial_response_probability,initial_reached_criterion,weight_erasure,path_erasure,residual_trace_correlation,post_behavior,trained_delta_norm,post_delta_norm,post_minus_trained_norm,baseline_weight_norm,reset_window_neuron_spikes,post_readout_neuron_spikes,homeostasis_rate,homeostasis_interval_ms,consolidation_s,consolidation_spikes,consolidation_weight_change_norm
consolidation_delay,rest_10s,reset,mid_burden_1.5s,1,0.0,static,shared,1.5,0.8,160,451,16,0.875,True,-0.1197692974962532,-0.138735724789099,0.9789172780503252,0.625,357.5851603873427,400.4128838431395,58.47439229500552,197.84471483464534,1751,1781,0.012,100.0,10.0,12002,335.55311106454883
consolidation_delay,rest_10s,no_reset,mid_burden_1.5s,1,0.0,static,shared,1.5,0.8,160,0,16,0.875,True,-0.1197692974962532,-0.138735724789099,0.9789172780503252,0.625,357.5851603873427,400.4128838431395,58.47439229500552,197.84471483464534,1751,1781,0.012,100.0,10.0,12002,335.55311106454883
consolidation_delay,rest_10s,reset,high_burden_3s,1,-2.0,static,shared,3.0,2.6,160,1563,16,0.875,True,-0.21375313997565804,-0.24858214502063092,0.9292861920620631,0.625,357.5851603873427,434.0201112300502,106.74185081585824,197.84471483464534,3532,1707,0.012,100.0,10.0,12002,335.55311106454883
consolidation_delay,rest_10s,no_reset,high_burden_3s,1,-2.0,static,shared,3.0,2.6,160,0,16,0.875,True,-0.21375313997565804,-0.24858214502063092,0.9292861920620631,0.625,357.5851603873427,434.0201112300502,106.74185081585824,197.84471483464534,3532,1707,0.012,100.0,10.0,12002,335.55311106454883
consolidation_delay,rest_10s,reset,low_burden_0.75s,3,2.0,epoch_pause,independent,0.75,0.8,160,13,48,0.875,True,-0.03879318354156802,-0.042181413403087564,0.9943269364509679,0.875,419.5080350848691,435.7820872881178,27.49399182523145,198.90535604574396,937,1732,0.012,100.0,10.0,11922,345.9442963542901
consolidation_delay,rest_10s,no_reset,low_burden_0.75s,3,2.0,epoch_pause,independent,0.75,0.8,160,0,48,0.875,True,-0.03879318354156802,-0.042181413403087564,0.9943269364509679,0.875,419.5080350848691,435.7820872881178,27.49399182523145,198.90535604574396,937,1732,0.012,100.0,10.0,11922,345.9442963542901
consolidation_delay,rest_10s,reset,mid_burden_1.5s,3,0.0,static,shared,1.5,0.8,160,514,48,0.875,True,-0.06881048492900343,-0.07461906263893914,0.9819267917814273,0.625,419.5080350848691,448.3745864117411,49.200544751844355,198.90535604574396,1766,1764,0.012,100.0,10.0,11922,345.9442963542901
consolidation_delay,rest_10s,no_reset,mid_burden_1.5s,3,0.0,static,shared,1.5,0.8,160,0,48,0.875,True,-0.06881048492900343,-0.07461906263893914,0.9819267917814273,0.625,419.5080350848691,448.3745864117411,49.200544751844355,198.90535604574396,1766,1764,0.012,100.0,10.0,11922,345.9442963542901
consolidation_delay,rest_10s,reset,high_burden_3s,3,-2.0,static,shared,3.0,2.6,160,1539,48,0.875,True,-0.12184866770812253,-0.1315811361784156,0.9418532299069879,0.625,419.5080350848691,470.62453025393455,88.63860883382134,198.90535604574396,3530,1793,0.012,100.0,10.0,11922,345.9442963542901
consolidation_delay,rest_10s,no_reset,high_burden_3s,3,-2.0,static,shared,3.0,2.6,160,0,48,0.875,True,-0.12184866770812253,-0.1315811361784156,0.9418532299069879,0.625,419.5080350848691,470.62453025393455,88.63860883382134,198.90535604574396,3530,1793,0.012,100.0,10.0,11922,345.9442963542901
consolidation_delay,rest_10s,reset,low_burden_0.75s,4,2.0,epoch_pause,independent,0.75,0.8,160,20,48,0.875,True,-0.038765541340936904,-0.04423237439039562,0.9941484239468131,0.625,421.285220199701,437.6165698207169,27.62992052176059,197.98112228231966,851,1772,0.012,100.0,10.0,12029,347.28631048306806
consolidation_delay,rest_10s,no_reset,low_burden_0.75s,4,2.0,epoch_pause,independent,0.75,0.8,160,0,48,0.875,True,-0.038765541340936904,-0.04423237439039562,0.9941484239468131,0.625,421.285220199701,437.6165698207169,27.62992052176059,197.98112228231966,851,1772,0.012,100.0,10.0,12029,347.28631048306806
consolidation_delay,rest_10s,reset,mid_burden_1.5s,4,0.0,static,shared,1.5,0.8,160,431,48,0.875,True,-0.06876963497670507,-0.0777685941608568,0.9813467573116856,0.625,421.285220199701,450.25685101498397,49.446879744187136,197.98112228231966,1724,1801,0.012,100.0,10.0,12029,347.28631048306806
consolidation_delay,rest_10s,no_reset,mid_burden_1.5s,4,0.0,static,shared,1.5,0.8,160,0,48,0.875,True,-0.06876963497670507,-0.0777685941608568,0.9813467573116856,0.625,421.285220199701,450.25685101498397,49.446879744187136,197.98112228231966,1724,1801,0.012,100.0,10.0,12029,347.28631048306806
consolidation_delay,rest_10s,reset,high_burden_3s,4,-2.0,static,shared,3.0,2.6,160,1439,48,0.875,True,-0.12169802870667756,-0.1365916566092824,0.9400780484519181,0.875,421.285220199701,472.5548010223849,88.99314685451654,197.98112228231966,3525,1758,0.012,100.0,10.0,12029,347.28631048306806
consolidation_delay,rest_10s,no_reset,high_burden_3s,4,-2.0,static,shared,3.0,2.6,160,0,48,0.875,True,-0.12169802870667756,-0.1365916566092824,0.9400780484519181,0.875,421.285220199701,472.5548010223849,88.99314685451654,197.98112228231966,3525,1758,0.012,100.0,10.0,12029,347.28631048306806
